amenity	cuisine	takeaway	name
fast_food	asian		Le Lotus Bleu
fast_food	asian		Le Lotus d’Or
fast_food	asian		Le Mandarin de Rambuteau
fast_food	asian		Le Phoenix d'Or
fast_food	asian		Le pot chinois
fast_food	asian		Le Printemps de Jade
fast_food	asian		Le Royal Boulogne
fast_food	asian		Le Royal d'Asie
fast_food	asian		Le saïgonais
fast_food	asian		L'Eurasie
fast_food	asian		Li Hao
fast_food	asian		Lim sept
fast_food	asian		Linh Traiteur d'Asie
fast_food	asian;local;noodles;oriental		La bonne bouffe - traiteur
fast_food	asian		Lotus
fast_food	asian		Lotus Imperial
fast_food	asian		Ma Cuisine Privée
fast_food	asian		Maison Le Yin
fast_food	asian		Maitre Panda
fast_food	asian		Makasi - Asian Street Food & Salad Bar
fast_food	asian		Mala d'Asie
fast_food	asian		Map Map
fast_food	asian		MI-AM
fast_food	asian		Miao Xiang Ge
fast_food	asian		Montendre Asie
fast_food	asian		Moon Wok
fast_food	asian		My Wok
fast_food	asian		My Wok
fast_food	asian		New Arc en ciel
fast_food	asian		New Impérial Monceau
fast_food	asian		Nongkhane
fast_food	asian		Obao
fast_food	asian		O Food Asia
fast_food	asian	only	Asie Angkor
fast_food	asian	only	Aux Bons Nems
fast_food	asian	only	Délices d'Asie
fast_food	asian	only	L'oiseau des iles
fast_food	asian	only	My Little Warung
fast_food	asian	only	Spécialités Thailandaises
fast_food	asian	only	Traiteur Asiatique
fast_food	asian		O'Sushi
fast_food	asian		Pâtes Thai
fast_food	asian		Pekin City
fast_food	asian		Perle de Chine
fast_food	asian		Pho
fast_food	asian		Pouss pouss
fast_food	asian		Printemps de Chine
fast_food	asian		Qi Hong
fast_food	asian		Refant
fast_food	asian		Resto Bao
fast_food	asian		Rong Fa Sushi
fast_food	asian		Royal Saint-Jacques
fast_food	asian		Saigon Express
fast_food	asian		Saveur d'Asie
fast_food	asian		Saveurs d'Asie
fast_food	asian		Saveurs d'Asie
fast_food	asian		Senzu
fast_food	asian		Se Tchiao
fast_food	asian		Shanghaï
fast_food	asian		Shanghai Osaka
fast_food	asian		Shook
fast_food	asian		Sushi et Thaï
fast_food	asian		Sushi Shop
fast_food	asian		Sushi & Wok
fast_food	asian		The Cup
fast_food	asian		Thé Vert
fast_food	asian		The Wok House
fast_food	asian		Traiteur Asiatique
fast_food	asian		Traiteur Asiatique
fast_food	asian		Traiteur Asiatique
fast_food	asian		Traiteur Asiatique
fast_food	asian		Traiteur Asiatique
fast_food	asian		Traiteur Ben Long
fast_food	asian		Traiteur Cheng Feng
fast_food	asian		Traiteur Chez Victor
fast_food	asian		Traiteur Da Fa
fast_food	asian		Traiteur du Moulin
fast_food	asian		Traiteur Phô
fast_food	asian		Traiteur Rose
fast_food	asian		Traiteur Shanghaï
fast_food	asian		Traiteur Shanghaï
fast_food	asian;vietnamese		Asie Express
fast_food	asian;vietnamese	yes	Addictea Cafe
fast_food	asian;vietnamese	yes	Chez Vinh Express
fast_food	asian;vietnamese	yes	Traiteur asiatique Le Mekong
fast_food	asian;vietnamienne	yes	O Bobun
fast_food	asian		Wan Cheng
fast_food	asian		Wan Hao
fast_food	asian		Wazawok
fast_food	asian		Wok Bar
fast_food	asian		Wok & Bowl
fast_food	asian		Wok Thai
fast_food	asian		Wokway
fast_food	asian		Xia's Fast Food
fast_food	asian		Xin Hao
fast_food	asian		Xinlongmeishi
fast_food	asian		Ya Da
fast_food	asian	yes	Asian Kanteen
fast_food	asian	yes	Asia Story
fast_food	asian	yes	Aux délices de Bercy
fast_food	asian	yes	Aux Gourmets d'Asie
fast_food	asian	yes	Aux Gourmets de Hong Kong
fast_food	asian	yes	Aux Goûts d'Asie
fast_food	asian	yes	B-east
fast_food	asian	yes	Chez Duong
fast_food	asian	yes	Cup Avenue
fast_food	asian	yes	Délicieux Monge
fast_food	asian	yes	Eastwok
fast_food	asian	yes	Express Saveurs d'Asie
fast_food	asian	yes	Fa Fa
fast_food	asian	yes	Just in Thaĩ
fast_food	asian	yes	Kong Delices
fast_food	asian	yes	La Rose de Chine
fast_food	asian	yes	Le Kiosque
fast_food	asian	yes	Le Lotus Bleu
fast_food	asian	yes	Le Pad Thaï
fast_food	asian	yes	Le Panda Express
fast_food	asian	yes	Le Petit Traiteur Pékinois
fast_food	asian	yes	Le Samurai
fast_food	asian	yes	Little Niam Baï
fast_food	asian	yes	Lotus d'Or
fast_food	asian	yes	Lucky Bamboo
fast_food	asian	yes	Maison Zhang
fast_food	asian	yes	My Little Warung
fast_food	asian	yes	O Phuket Food
fast_food	asian	yes	Oshi-Moshi
