141,Anneau de Roller,leisure=track,sport=skating,
142,Espace de vélo-freestyle,,,
143,Skate park,,sport=skateboard,
145,Structure Artificielle d'Escalade,,sport=climbing,
146,Terrain mixte,leisure=pitch,sport=multi,
147,Terrain de football,leisure=pitch,sport=soccer,
148,Terrain de rugby,leisure=pitch,sport=rugby_union,
149,Terrain de football américain,leisure=pitch,sport=american_football,
150,Terrain de rugby à XIII,leisure=pitch,sport=rugby_league,
151,Terrain de baseball /softball,leisure=pitch,sport=baseball,
153,Terrain de cricket,leisure=pitch,sport=cricket,
154,Terrain de hockey sur gazon,leisure=pitch,sport=hockey,
156,Terrain de basket-ball,leisure=pitch,sport=basketball,
157,Terrain de beach-volley,leisure=pitch,sport=beachvolleyball,
158,Terrain de handball,leisure=pitch,sport=team_handball,
159,Terrain de volley-ball,leisure=pitch,sport=volleyball,
161,Canyon,,,
162,Equipement pour saut à l’élastique,,,
163,Parcours Acrobatique en Hauteur/Site d'accrobranche,,,
165,Parcours de chasse / en campagne,,,
166,Parcours fixe de course d’orientation,,sport=orienteering,
167,Piste de pulka / traineau à chiens,leisure=track,,piste:type=sleigh
168,Site d'escalade en falaise,,sport=climbing,
169,Site de spéléologie sportive et/ou éducative,natural=cave_entrance,,
170,Site de char à voile,,,
171,Via ferrata / Via corda,,highway=via_ferrata,
173,Arènes,leisure=stadium,,
176,Club de plage,,,
177,Salle de spectacle / Zenith,,,
178,Hippodrome,,sport=horse_racing,
180,Refuge de montagne,amenity=shelter,,
181,Boucle de randonnée,,,
183,Salle ou terrain de paintball,,sport=shooting,type=paintball
184,Bassin de réception de toboggan,,,
185,Terrain de boules traditionnelles,leisure=pitch,,
186,Terrain de moto-ball,leisure=pitch,,
187,Terrain de cyclocross,leisure=pitch,,
189,Piste de ski indoor,,sport=skiing,
190,Domaine nordique,,sport=skiing,piste:type=nordic
191,Piste de luge,,,
192,Piste de bobsleigh,,sport=toboggan,
193,Salle de curling,,sport=ice_stock,
194,But/panier isolé de sport collectif,,,
195,Salle ou terrain de jorkyball,leisure=pitch,,
196,Terrain de ballon au poing/long paume,leisure=pitch,,
197,Site de glisse aérotractée,,,
198,Zone de mouillage,,,
199,Dispositif de franchissement,,,
200,Site de pêche,,fishing=yes,
201,Cascade de glace,,sport=climbing,
202,Site de blocs d'escalade,,sport=climbing,
203,Simulateur de chute libre,,sport=indoor_skydiving,
204,Espace de pratique spéléologique,natural=cave_entrance,,
205,Terrain de soccer,leisure=pitch,sport=soccer,
206,Salle de blocs artificiels d'escalade,,sport=climbing,
